codPregunta,codRespuesta,respuesta,forceSingle
seg4,b,Asignar auditores externos que fiscalicen en materia de corrupción.,0
seg4,c,Evaluar a los encargados de realizar contratos y compras para detectar actos de corrupción.,0
seg4,d,Asignar labores administrativas a personal civil para liberar horas a efectivos policiales.,0
seg4,e,Aprobar normas para proteger los derechos de los policías durante su labor.,0
der1,a,Ampliar el programa existente de pensiones a personas con discapacidad en situación vulnerable.,0
der1,b,"Dar apoyo a las familias en el acceso a terapias, medicamentos y transporte.",0
der1,c,"Ampliar, adaptar y mejorar los servicios para atender sus necesidades educativas.",0
der1,d,Brindar herramientas de desarrollo laboral para lograr su proyecto de vida.,0
der2,a,Establecer cuotas de representación en el congreso y otros niveles de gobierno.,0
der2,b,Utilizar un enfoque intercultural en los diferentes niveles de gobierno.,0
der2,c,Aumentar y mejorar los colegios de Educación Intercultural Bilingüe (EIB).,0
der2,d,Fomentar el emprendimiento dentro de las comunidades en temas culturales y productivos.,0
der2,e,"Promover sus valores culturales y revalorizar, recuperar y proteger su identidad, patrimonio y tradiciones.",0
der3,a,"Sí, con igualdad de derechos respecto a familias conformadas por parejas heterosexuales.",0
der3,b,"No, pero sí de la unión civil (es decir, sin reconocimiento de derechos sobre hijos e hijas).",0
der3,c,No.,0
der4,a,Facilitar financiamiento y acompañamiento a mujeres emprendedoras.,0
der4,b,Dar capacitación para facilitar la inserción laboral de las mujeres.,0
der4,c,Reconocer o reducir la carga de trabajo no remunerado que enfrentan las mujeres.,0
der4,d,Reducir la brecha de participación de mujeres en carreras de ciencia y tecnología.,0
der4,e,Fortalecer las leyes para reducir la brecha salarial y generar igualdad de oportunidades.,0
der5,a,Durante las primeras 12 semanas de embarazo.,0
der5,b,Solo en casos de violación.,0
der5,c,Ninguna.,0
cre1,a,Revisar la regulación y crear planes de promoción empresarial y de mejora de capacidades de la mano de obra.,0
cre1,b,Reducir y reformular las barreras legales y tributarias que enfrentan las empresas.,0
cre1,c,Exigir que todos los proveedores del Estado tengan trabajadores en planilla.,0
cre1,d,Dar un subsidio a la formalización.,0
cre1,e,Prohibir la intermediación y la tercerización laboral (services).,0
cre2,a,Desregular para eliminar barreras y que el libre mercado guíe el crecimiento.,0
cre2,b,Fortalecer a INDECOPI y la regulación que promueva la competencia.,0
cre2,c,Revisar toda la regulación relacionada a servicios públicos.,0
cre3,a,Promover la innovación y startups.,0
cre3,b,Atraer a investigadores exitosos peruanos y extranjeros.,0
cre3,c,Incrementar el financiamiento e incentivos para startups y proyectos de negocio innovadores.,0
cre3,d,Disponer de incentivos financieros para la investigación científica.,0
cre3,e,Promover la investigación científica en programas de postgrado.,0
cre4,a,Dar créditos agrarios para pequeños agricultores.,0
cre4,b,"Hacer una segunda Reforma Agraria, con financiamiento público para un Plan de agricultura Familiar y Rural.",0
cre4,c,Dar mejor tecnología para la agricultura familiar.,0
cre4,d,Fortalecer el Sistema de Compras Públicas de alimentos.,0
cre4,e,"Desarrollar la red de mercado mayoristas y minoristas, así como los servicios agrarios regionales.",0
imp1,a,Simplificar el régimen tributario y reducir el número de impuestos.,0
imp1,b,Combatir el uso de paraísos fiscales y tributación en el extranjero para evadir impuestos.,0
imp1,c,Revisar beneficios tributarios a empresas y sectores productivos.,0
imp1,d,Añadir un impuesto a la riqueza.,0
imp1,e,Hacer más énfasis en impuestos directos y menos en impuestos indirectos.,0
imp2,a,Unificar ambos sistemas actuales (AFP y ONP) bajo el Estado.,0
imp2,b,Establecer un sistema mixto (una parte del Estado y otra de las AFP).,0
imp2,c,Cambiar a un sistema de cuentas individuales administrado por las AFP.,0
imp2,d,Unificar todos los sistemas de protección social (pensiones y EsSalud).,0
imp2,e,Garantizar una pensión básica para adultos mayores.,0
imp3,a,Debe contar con un pilar redistributivo.,0
imp3,b,Debe tener más alternativas de administración de fondos.,0
imp3,c,Debe establecer un límite al tamaño del fondo acumulable obligatorio.,0
imp3,d,Debe tener una mayor tasa de aporte.,0
imp3,e,Debe reasignar un porcentaje de tus pagos de IGV a tu cuenta individual de pensiones.,0
